valor,area,quartos,suites,vagas,bairro_id,bairro,cidade,tipo,subtipo,id
1600,57,2,0,1,1,VL DA SAUDE,Sao Paulo,1,3,9165861
5600,143,4,1,2,2,ITAIM BIBI,Sao Paulo,1,3,8657016
3000,140,3,1,1,3,BROOKLIN,Sao Paulo,1,2,9245580
4000,70,2,1,1,4,CAMPO BELO,Sao Paulo,1,2,8788916
2500,80,2,1,2,5,PERDIZES,Sao Paulo,1,1,9257792
3200,110,2,0,0,6,JD PAULISTA,Sao Paulo,1,2,9196536
4500,200,3,1,2,2,ITAIM BIBI,Sao Paulo,1,2,8365628
2200,56,2,1,1,7,MORUMBI,Sao Paulo,1,1,8482117
1800,43,1,0,1,8,CONSOLAÇÃO,Sao Paulo,1,1,9461990
9500,213,3,3,4,9,PANAMBY,Sao Paulo,1,2,9112725
2500,90,2,1,1,7,MORUMBI,Sao Paulo,1,2,7063668
4500,150,4,3,3,10,MOEMA,Sao Paulo,1,2,8721391
2700,51,1,1,1,3,BROOKLIN,Sao Paulo,1,2,7083169
9500,193,3,3,3,11,CH STO ANTÔNIO,Sao Paulo,1,1,9072190
2200,76,2,0,1,12,VL OLÍMPIA,Sao Paulo,1,2,6432053
5000,136,3,1,3,13,ALTO DO IPIRANGA,Sao Paulo,1,2,9002189
2200,74,3,1,1,7,MORUMBI,Sao Paulo,1,1,6192109
2200,34,1,0,1,8,CONSOLAÇÃO,Sao Paulo,1,1,9117782
2800,57,2,0,1,10,MOEMA,Sao Paulo,1,1,2710455
2600,44,1,0,1,2,ITAIM BIBI,Sao Paulo,1,1,9553729
2600,83,2,1,2,4,CAMPO BELO,Sao Paulo,1,3,8622341
6000,220,4,1,2,5,PERDIZES,Sao Paulo,1,3,7919309
1800,65,2,1,1,14,VL S PAULO,Sao Paulo,1,2,9591190
4500,74,2,2,2,10,MOEMA,Sao Paulo,1,2,4083501
5500,130,3,2,2,9,PANAMBY,Sao Paulo,1,1,8369699
2700,87,2,2,2,15,VL ANDRADE,Sao Paulo,1,2,8580329
